time,flux
547.7884121437964,279703.0
547.7890932638256,281111.28
547.7897744838483,280458.94
547.7904556038702,280237.4
547.7911366238914,280316.53
547.7918178436812,280101.88
547.7924989637031,280170.03
547.7931800837323,279918.66
547.793861303755,280205.44
547.794542423544,280207.38
547.7952236435667,280187.2
547.7959047635886,280322.62
547.796585783617,280149.38
547.7972669034061,280027.22
547.7979481234288,280048.25
547.7986292434507,279984.62
547.7993104634734,279819.62
547.7999915832625,279840.06
547.8006727032916,279877.72
547.8013539233143,279737.47
547.8020350433362,279755.97
547.8027160631245,279686.06
547.8033972831472,279783.3
547.8040784031764,279960.66
547.8047595229655,279663.1
547.8054407429881,279772.97
547.80612186301,279754.8
547.806802983032,279754.2
547.8074841028283,279840.16
547.8081652228502,279709.56
547.8088463428721,279678.7
547.809527462894,279844.34
547.8102086826839,279960.47
547.8108898027058,279657.28
547.811570922735,279568.0
547.8122521427576,279541.94
547.8129332625467,279676.0
547.8136142825679,279876.6
547.8142955025905,279670.72
547.8149766223869,280249.4
547.8156577424088,279859.88
547.8163388624307,279776.2
547.8170200824534,279668.47
547.8177012022425,279779.56
547.8183824222651,279661.3
547.8190634422936,279516.47
547.8197445623155,279651.94
547.8204256821045,279714.22
547.8211069021272,279794.9
547.8217880221564,279668.25
547.8224691419455,279755.97
547.8231503619681,279751.44
547.82383148199,279727.4
547.8245127020127,279647.47
547.825193721801,279652.7
547.8258748418302,279611.97
547.8265559618521,279577.25
547.827237181642,279609.2
547.8279183016639,279538.8
547.8285995216866,279684.75
547.8292806417157,279500.34
547.8299617615048,279686.5
547.830642781526,279555.38
547.8313240015486,279567.5
547.8320051213377,279514.75
547.8326863413604,279561.47
547.8333674613896,279546.84
547.8340485811786,279423.88
547.8347297012006,279470.53
547.8354109212232,279469.6
547.8360919412517,279451.3
547.8367730610407,279732.7
547.8374542810634,279454.16
547.8381354010853,279556.25
547.8388165208744,279492.7
547.8394977408971,279500.78
547.8401788609262,279646.47
547.8408599807153,279509.03
547.8415410007365,279599.94
547.8422222207591,279336.62
547.8429033405482,279417.06
547.8435844605774,279649.06
547.8442656806001,287707.47
547.844946800622,298799.44
547.8456279204111,334714.88
547.8463091404337,320797.5
547.8469902604556,307130.28
547.8476712802512,302956.44
547.8483525002739,301495.28
547.8490336202958,298147.62
547.8497147400849,296276.38
547.8503959601076,293794.75
547.8510770801367,291613.75
547.8517581999258,290573.3
547.8524394199485,289415.97
547.8531204399696,289145.53
547.8538015597587,288344.12
547.8544827797887,287785.38
547.8551638998106,287770.1
547.8558450195997,287510.34
547.8565262396223,287062.03
547.8572073596442,286859.94
547.8578885794341,286441.7
547.8585695994625,286254.44
547.8592507194844,286004.06
547.8599318392735,285876.94
547.8606130592962,285821.25
547.8612941793181,285728.16
547.8619752991144,285355.5
547.8626565191371,285079.72
547.863337639159,284917.0
547.8640186589473,284935.62
547.86469987897,284597.97
547.8653809989992,284509.38
547.8660621187882,284100.22
547.8667433388109,283951.16
547.8674244588328,283734.0
547.8681055786219,283640.6
547.8687866986511,283403.72
547.869467818673,283450.66
547.8701489384621,283257.88
547.870830058484,282981.47
547.8715112785067,282702.9
547.8721923982957,282651.97
547.8728735183249,282690.84
547.8735547383476,282469.62
547.8742358581367,282536.62
547.8749169781586,282384.25
547.8755980981805,282281.25
547.8762792179768,282296.53
547.8769603379988,282119.7
547.8776414577878,281899.62
547.8783226778105,281919.6
547.8790037978324,281909.7
547.8796850176223,281733.44
547.8803661376514,281790.25
547.8810471576726,281676.22
547.8817282774617,281657.66
547.8824094974843,281642.1
547.8830906175135,281616.06
547.8837718373034,281410.5
547.8844529573253,281458.12
547.8851340773472,281378.62
547.885815297137,281484.5
547.8864963171582,281178.7
547.8871774369545,281257.25
547.8878586569772,281247.62
547.8885397769991,281225.5
547.8892208967882,281177.34
547.8899021168108,281109.28
547.89058323684,281101.8
547.8912643566291,281122.78
547.891945476651,281150.6
547.8926265964401,281036.6
547.893307716462,281184.6
547.8939889364847,281088.78
547.894670056281,280984.94
547.8953511763029,280927.44
547.8960322963248,281094.1
547.8967135161147,281098.75
547.8973946361366,281007.25
547.8980756559322,281010.94
547.8987568759549,281110.72
547.8994379959768,280837.03
547.9001191157658,280963.75
547.9008002357878,280863.44
547.9014814555849,280857.12
547.9021625756068,281152.2
547.9028436956287,281202.22
547.9035248154178,281079.2
547.9042059354397,280885.62
547.904887055236,281158.44
547.9055682752587,280923.78
547.9062493952806,280954.1
547.9069305150697,280909.56
547.9076117350924,281060.78
547.9082928551143,280981.62
547.9089738749099,281073.1
547.9096550949325,280957.22
547.9103362147216,280901.06
547.9110173347435,280988.72
547.9116985547662,280977.0
547.9123796745625,280823.38
547.9130608945852,280863.72
547.9137420143743,281159.34
547.9144230343954,280986.5
547.9151041544173,281093.84
547.9157853742145,281148.78
547.9164664942364,281193.4
547.9171477140262,281367.84
547.9178288340481,281211.7
547.91850995407,281036.34
547.9191911738599,281097.4
547.9198722938891,281221.22
547.9205533136774,281202.34
547.9212344336993,281305.25
547.9219156534891,281301.56
547.922596773511,281246.8
547.9232778935402,281349.06
547.92395911333,281391.38
547.924640233352,281184.06
547.925321353141,281447.84
547.926002473163,281397.72
547.9266835931921,281181.16
547.9273647129812,281565.25
547.9280458330031,281597.94
547.928727052793,281461.8
547.9294081728149,281561.94
547.9300892926112,281521.1
547.9307705126339,281308.4
547.931451532655,281392.16
547.9321326524441,281469.34
547.9328138724668,281728.25
547.9334949922559,281560.94
547.9341761122851,281575.88
547.9348573320749,281454.72
547.9355384520968,281700.44
547.9362195721187,281411.22
547.9369005919143,281614.16
547.937581811937,281748.9
547.9382629317261,281662.3
547.9389441517487,281698.16
547.9396252715378,281557.12
547.9403063915597,281672.16
547.9409876115824,281657.5
547.9416687313787,281874.4
547.9423497513999,281792.16
547.9430309711897,281637.78
547.9437120912116,281755.66
547.944393211008,281763.3
547.9450744310307,281861.44
547.9457555508197,281797.1
547.9464366708416,281857.5
547.9471178908643,281750.7
547.9477990106534,281798.72
547.9484800306818,281518.1
547.9491612504717,281840.2
547.9498423704936,281722.44
547.9505234902826,281726.28
547.9512047103053,281624.5
547.9518858301017,281763.6
547.9525669501236,281877.16
547.9532480699127,281805.22
547.9539291899346,281704.06
547.9546103099565,281804.97
547.9552914297528,281731.56
547.9559726497755,281844.03
547.9566537695646,281920.44
547.9573348895865,281749.25
547.9580161093763,281743.6
547.9586972293982,281889.56
547.9593782491938,281951.47
547.9600594692165,281775.84
547.9607405890056,281801.62
547.9614217090275,281831.66
547.9621028288166,281967.84
547.9627840488465,281931.3
547.9634651688684,282156.5
547.9641463886583,282025.34
547.9648274086794,282064.97
547.9655085284685,282036.75
547.9661896484977,281936.3
547.9668708682875,281875.84
547.9675519883094,281855.12
547.9682332080993,281902.88
547.9689143281212,281881.34
547.9695954479103,282021.28
547.9702766679402,281878.2
547.9709576877285,282033.06
547.9716388077504,281980.44
547.9723200275403,281866.22
547.9730011475622,282098.9
547.9736822673585,282008.2
547.9743634873812,281956.47
547.9750446071703,281957.28
547.9757257271922,282230.1
547.9764068469813,281960.3
547.9770879670104,281999.2
547.9777690870324,282090.03
547.9784503068222,282568.2
547.9791314268441,282301.84
547.9798125466332,282328.06
547.9804936666551,282238.8
547.9811748864522,282400.34
547.9818559064734,282384.56
547.9825370262624,282383.62
547.9832182462851,282463.38
547.9838993660742,282254.28
547.9845804861034,282290.84
547.9852617058932,282378.28
547.9859428259151,282264.56
547.9866239457042,282375.94
547.9873050657261,282301.78
547.9879861855225,282293.75
547.9886673055444,282449.34
547.9893484253334,282228.3
547.9900296453561,282333.06
547.9907107651452,282451.34
547.9913918851744,282584.3
547.9920731049642,282372.75
547.9927542249861,282456.62
547.9934352447744,282498.1
547.9941164647971,282426.5
547.9947975845862,282508.0
547.9954787043825,282519.3
547.9961599244052,282526.94
547.9968410444271,282457.25
547.997522264217,282390.88
547.998203384006,282507.97
547.9988844040345,282645.4
547.9995655238235,283035.7
