,id,group_id,local_bkg,x_init,y_init,flux_init,x_fit,y_fit,flux_fit,x_err,y_err,flux_err,npixfit,group_size,qfit,cfit,flags
18,19,19,22.951661389449548,1759.8050633980447,653.0162233406763,2765.753342537217,1759.6767193275525,653.1465661249827,1772.091978257112,0.312075087378995,0.3120055252002839,82.47746561163147,625,1,1.1969646088331958,0.0176351765973411,0
19,20,20,23.853449473565227,1760.6326626226692,686.6267193450242,7338.526734459502,1760.5925461426975,686.6981992686547,9957.43364936803,0.25716527004396483,0.2571064331684563,381.8891165662113,625,1,0.8529402944830518,0.015737313857272447,0
20,21,21,25.228314039003045,1232.4292508320434,726.9784330662504,19656.813839823462,1232.388440149605,727.0944509074506,32334.764836176644,0.24130253112151137,0.2412489604351002,1163.5883635425466,625,1,0.7895787494358838,0.014791928106944427,0
21,22,22,24.377510387266696,835.5950702782918,761.7354014509598,9176.786350898947,835.5370625115934,761.8268021052684,13285.994711626876,0.2509187369135625,0.250891206196561,497.19479962080715,625,1,0.8187001047069412,0.016174380776637694,0
22,23,23,24.97830222068577,1550.7428389992133,839.3629703166331,15646.284160248666,1550.7023857901231,839.4826565467176,25014.739721406717,0.24912078563593676,0.24912965616605573,929.428495498082,625,1,0.8021599502887475,0.018001898098287537,0
23,24,24,23.178328915859794,1563.6236505295897,924.7317076910072,2315.5581315470527,1563.6267683629374,924.7554091815185,905.2594688235905,0.446609900830069,0.4465399601081704,60.29776750395722,625,1,1.8574475179987067,0.019198632599846888,0
24,25,25,22.54322047978011,1218.6489083050255,927.724106529529,2847.1236867081234,1218.6563040147985,928.1710535855088,2012.9495075480427,0.2843265698131114,0.28431011388508864,85.3630548924301,625,1,1.0830273733621378,0.014893024849932142,0
25,26,26,26.3971734951704,1245.6523176097312,936.5866174301899,22012.207608805304,1245.6119484420096,936.6812350964746,36366.28355733996,0.24579076390185506,0.24577269859874076,1333.1365923114056,625,1,0.8047913877918158,0.015427223329521195,0
26,27,27,23.445509820921806,1358.94411206065,947.1650771120698,3685.01799242639,1358.9434417412947,947.3662097526147,3338.2642634869208,0.2800653688798255,0.28007861572474735,139.44862356257008,625,1,0.9999809323888847,0.01874521511547049,0
27,28,28,26.17190333309337,1715.3314624583236,1003.0234686422112,3002.510504611053,1714.113092104504,1003.5285969579472,1830.1562920910246,0.32795768390684166,0.3278543918738999,89.48389691513893,625,1,1.328674385231791,0.017949382464573473,0
