,field,candidate id,object id,object ra,object dec,object MJD,object filter,object magnitude,object magnitude error,object real/bogus score,exposure id,mean seeing,airmass,object datetime,parallactic angle
4205,COSMOS,DC21kjcg,1306151,151.30985451739,2.4246359301,59366.9950255,r,21.167,0.04,1.0,1158,1.285,1.32,2021-06-01 23:52:50.203200,143.93875460688133
4206,COSMOS,DC21kjcg,1306934,151.31010683794,2.42463762392,59366.99617142,r,21.205,0.039,1.0,1159,1.23,1.33,2021-06-01 23:54:29.210688,143.54523649250493
4207,COSMOS,DC21bcfxm,3094081,151.19510982631,2.4796122001,59370.00332055,g,22.021,0.055,1.0,1428,0.987,1.4,2021-06-05 00:04:46.895520,138.69383076124717
4208,COSMOS,DC21bcfxm,3098060,151.19544220278,2.47944337775,59370.00457302,g,21.858,0.062,1.0,1429,1.038,1.41,2021-06-05 00:06:35.108928,138.3406712160307
4209,COSMOS,DC21jnwe,1186012,150.70198731972,2.79049768149,59352.00407323,g,20.413,0.024,1.0,1011,1.424,1.24,2021-05-18 00:05:51.927072,156.46719407065902
4210,COSMOS,DC21jnwe,1186853,150.70227433011,2.79050133497,59352.00532021,g,20.401,0.022,1.0,1012,1.3,1.25,2021-05-18 00:07:39.666144,155.88697189914862
4211,COSMOS,DC21jxrd,1242413,150.70641285881,2.86703029529,59360.97518492,g,19.699,0.018,1.0,1100,1.171,1.23,2021-05-26 23:24:15.977088,158.5681978276913
4212,COSMOS,DC21jxrd,1242437,150.70668637588,2.86695148066,59360.97645314,g,19.657,0.016,1.0,1101,1.055,1.24,2021-05-26 23:26:05.551296,157.95734669665495
4213,COSMOS,DC21juqu,1225456,150.6619511563,2.91813457396,59358.00342262,g,21.052,0.058,1.0,1052,1.136,1.29,2021-05-24 00:04:55.714368,149.6420284550235
4214,COSMOS,DC21juqu,1225793,150.66214487548,2.91811883106,59358.00468874,g,21.11,0.061,1.0,1053,1.092,1.29,2021-05-24 00:06:45.107136,149.1354657351006
4215,COSMOS,DC21juqu,1230707,150.66232057878,2.91811017547,59358.00596209,r,20.711,0.034,1.0,1054,0.935,1.3,2021-05-24 00:08:35.124576,148.63257320757646
4216,COSMOS,DC21juqu,1227541,150.66248519527,2.91809676718,59358.0071283,r,20.699,0.035,0.991,1055,0.965,1.3,2021-05-24 00:10:15.885120,148.17776565947045
4217,COSMOS,DC21joad,1185951,150.77766123666,2.88492130397,59352.00407323,g,21.571,0.07,0.533,1011,1.424,1.24,2021-05-18 00:05:51.927072,156.61650682334567
4218,COSMOS,DC21joad,1186787,150.77800979015,2.88484050608,59352.00532021,g,21.662,0.072,0.976,1012,1.3,1.25,2021-05-18 00:07:39.666144,156.03612482663416
4219,COSMOS,DC21fyws,649472,150.82971770463,2.73796124209,59322.06624931,g,21.424,0.03,1.0,534,1.176,1.21,2021-04-18 01:35:23.940384,166.59790082471466
4220,COSMOS,DC21fyws,654918,150.8296615577,2.73799838127,59322.06726977,r,20.933,0.019,1.0,535,1.023,1.21,2021-04-18 01:36:52.108128,166.0493440675723
4221,COSMOS,DC21fyws,10062018,150.82963682843,2.73804003484,59322.06859985,i,20.777,0.021,1.0,2026,0.945,1.21,2021-04-18 01:38:47.027040,165.3389723133784
4222,COSMOS,DC21fyws,679037,150.82940427421,2.73817089224,59322.07884438,g,21.459,0.024,1.0,543,0.953,1.23,2021-04-18 01:53:32.154432,160.0594889692833
