x,y
4337.454724150428, 4.491136706908613e-13
4340.2087040035585, 4.61044236109639e-13
4341.331615005654, 3.5970720539291547e-13
4344.160943633294, 2.3887608907637845e-13
4345.5292738073385, 1.6961958376613741e-13
4348.285396279649, 1.3370524717529095e-13
4349.239397469695, 1.0432403334534586e-13
4353.285376688571, 8.718883948445086e-14
4356.251208013157, 7.092109098424947e-14
4367.040545447358, 6.344776938078986e-14
4378.251889584287, 5.677805895321476e-14
4385.05318779328, 7.277403122548916e-14
4391.699235387498, 6.002179742649397e-14
4404.153477200623, 5.6347396815975244e-14
4414.177899587442, 6.356940410828229e-14
4421.482891855413, 5.502375564411846e-14
4434.381102217863, 5.949984366056855e-14
4447.239317022281, 6.512363534225086e-14
4452.7639713029885, 5.3467425752019165e-14
4459.135317263127, 6.388874992050538e-14
4466.831069704113, 8.199877048311534e-14
4468.590517154369, 9.528572488499778e-14
4474.887228546393, 6.847554215335044e-14
4489.3366059196105, 6.359345123269668e-14
4504.445999276171, 5.764121955355818e-14
4518.994740613877, 6.371534829245544e-14
4531.447821841612, 5.870760021622539e-14
4536.599571109141, 6.915393339410256e-14
4549.932376062004, 6.960129735229898e-14
4543.136166573564, 5.842454370084583e-14
4562.965392881217, 6.69738648167384e-14
4576.068580478586, 5.771266137409111e-14
4586.624015318934, 6.303407139677359e-14
4599.728095674294, 5.799982776164332e-14
4608.571220686354, 6.912735039111357e-14
4619.074697011577, 6.39190930193119e-14
4630.987659654267, 5.900936976660378e-14
4646.694308107349, 5.826985510779472e-14
4656.022736363754, 6.467968170351684e-14
4664.537862089622, 5.405024060373519e-14
4677.455356024695, 5.640668390816781e-14
4685.3541216330195, 6.834726167511076e-14
4692.339417264124, 5.64560023742395e-14
4704.555560520833, 6.031569700888221e-14
4714.7015765461365, 5.258826288342908e-14
4726.862547358952, 5.704904818434275e-14
4740.5763814227175, 5.938520446017849e-14
4753.1351651966825, 5.691009952727196e-14
4758.309947620401, 4.297737052975219e-14
4766.349590439831, 4.94875829393933e-14
4778.110962775513, 4.8128876687935896e-14
4788.125564824422, 5.5954510525088506e-14
4799.102381436903, 5.285444268967418e-14
4811.694732911359, 5.283503010196511e-14
4823.953550000077, 5.4573855807347426e-14
4835.204264764444, 5.959253439467492e-14
4843.114636226661, 6.800238218896403e-14
4847.905354162303, 8.110561656032053e-14
4850.475604420719, 9.631957634663898e-14
4853.059960255407, 1.1707810347020541e-13
4853.478128098769, 1.5601503243380747e-13
4855.04634678718, 2.369351800818265e-13
4858.007803597607, 3.576072793229178e-13
4859.6869028286, 4.3299418364318573e-13
4861.943437928694, 3.973858139189791e-13
4863.221510269767, 2.933999268649439e-13
4865.552858489576, 2.019998675089564e-13
4865.741230425847, 1.4758892003900537e-13
4867.892955737703, 1.1888705933478898e-13
4869.484921788696, 1.0091213988934348e-13
4871.513982152478, 8.768421024738728e-14
4875.977593559922, 7.77607927204121e-14
4881.084883479459, 6.666868494689759e-14
4890.858976525375, 6.282892756449664e-14
4902.406265494621, 5.734399709579633e-14
4913.23720545124, 5.190637387912577e-14
4917.237296909336, 6.444603109829776e-14
4921.073656551735, 7.738172259555255e-14
4925.964006279263, 6.774888177559197e-14
4931.741757450648, 5.101391950904119e-14
4941.085184041316, 5.856104392343078e-14
4949.905454448784, 4.6981522799058784e-14
4961.332042537538, 4.86989247026901e-14
4972.899686388997, 5.1936804422021076e-14
4985.181536633902, 5.500993947809128e-14
5002.74458605515, 4.959592616539122e-14
5012.940596527995, 5.820672047569584e-14
5022.380440981778, 4.9456103067432644e-14
5031.497642697322, 4.6735717465499335e-14
5041.625089356396, 5.3308102622262737e-14
5050.3214449546, 4.7106218069658494e-14
5064.438448527468, 4.416013927458504e-14
5075.519003618596, 4.9479625527314355e-14
5089.089817852075, 4.513898840438387e-14
5100.999566565995, 4.3357052763233205e-14
5110.317281726499, 5.038283552031883e-14
5119.435019096837, 4.5108645305577345e-14
5132.841744411422, 4.884653032455006e-14
5143.457529692015, 4.493331990757425e-14
5155.146231527163, 5.4234485298793803e-14
5162.046536597449, 4.138754955165031e-14
5168.482428960395, 6.710153318635661e-14
5177.320911630895, 4.259803807262629e-14
5185.092369949587, 6.188820405740572e-14
5192.755447448073, 4.48559318890043e-14
